Site,Year,Month,Day,Julday,season,Precip,Wsmean,Tmean,Rhumean,Rhumin,Sunhour,Tmin,Tmax,Rs,Ra,ET0
54539,1993,1,16,16,4,0.0,1.3,-9.4,42,27,7.9,-13.5,-2.5,9.5,15.478093795009544,0.7444176042434338
54539,1993,1,17,17,4,0.0,1.3,-9.9,61,41,5.4,-14.6,-4.8,7.73,15.598554670393286,0.5238362381000587
54539,1993,1,18,18,4,0.0,1.8,-9.6,47,18,7.4,-13.4,-4.6,9.93,15.723143180799568,0.7496218963728324
54539,1993,1,19,19,4,0.0,1.3,-9.0,49,22,8.4,-14.7,-2.1,9.63,15.85182510919246,0.6987714732346783
54539,1993,1,20,20,4,0.0,1.0,-7.0,50,18,8.3,-12.3,0.5,9.88,15.984564557619029,0.7087273803671752
54539,1993,1,21,21,4,0.0,2.8,-6.4,57,15,8.3,-12.9,1.1,9.85,16.121323921893463,1.0836334199599866
54539,1993,1,22,22,4,0.0,3.0,-5.5,55,14,7.3,-10.7,2.5,9.48,16.262063868113742,1.3101908961202202
54539,1993,1,23,23,4,0.0,0.8,-5.1,60,27,7.8,-9.6,-0.1,10.25,16.40674331117178,0.5935732280339893
54539,1993,1,24,24,4,0.0,2.8,-5.7,72,27,7.6,-11.3,2.2,9.58,16.555319395408883,0.9879702359256166
54539,1993,1,25,25,4,0.0,3.0,-2.9,63,21,7.0,-8.9,4.9,8.85,16.707747477560552,1.3109844108154194
54539,1993,1,26,26,4,0.0,3.8,-3.5,29,9,8.2,-7.1,1.7,10.74,16.86398111212492,1.9183277110445696
54539,1993,1,27,27,4,0.0,4.5,-5.8,24,9,8.5,-10.3,-1.4,11.46,17.02397203928007,1.7772879758740503
54539,1993,1,28,28,4,0.0,2.3,-5.8,33,9,8.3,-12.2,3.1,10.92,17.18767017546524,1.4946551209154209
54539,1993,1,29,29,4,0.0,1.5,-3.8,54,13,8.0,-10.3,5.4,10.16,17.355023606731205,1.1305826874743994
54539,1993,1,30,30,4,0.0,2.8,-0.1,55,23,7.5,-6.2,8.6,10.12,17.52597858495446,1.7671459888987773
54539,1993,1,31,31,4,0.0,2.8,-0.1,35,11,9.0,-4.5,4.9,11.84,17.700479526999466,1.8315295987931923
54539,1993,2,1,32,4,0.0,2.8,-1.3,35,15,8.8,-7.4,7.0,12.08,17.87846901690263,2.0101042915687257
54539,1993,2,2,33,4,0.0,2.5,-1.5,74,32,7.4,-7.3,5.1,8.93,18.059887811140754,1.0362225968918026
54539,1993,2,3,34,4,0.0,2.0,-1.3,71,29,7.5,-8.1,7.2,9.9,18.244674847036162,1.1701307679285027
54539,1993,2,4,35,4,0.0,2.3,0.5,68,41,6.5,-5.9,6.8,8.98,18.43276725433984,1.173732359958683
54539,1993,2,5,36,4,0.0,1.5,1.9,81,50,7.3,-4.5,11.0,9.25,18.624100370023136,1.1369293398179154
54539,1993,2,6,37,4,0.0,2.3,1.1,65,30,3.9,-0.9,5.0,6.97,18.818607756298057,1.2529066394228587
54539,1993,2,7,38,4,0.0,1.8,-2.7,37,12,8.9,-6.8,2.4,12.62,19.016221221875615,1.3627961585176693
54539,1993,2,8,39,4,0.0,1.8,-2.8,63,33,2.5,-7.3,3.1,7.74,19.216870846461177,1.028787824530598
54539,1993,2,9,40,4,0.0,1.8,-2.4,69,24,8.8,-7.8,4.1,12.5,19.42048500847568,1.0567406349019641
54539,1993,2,10,41,4,0.0,3.5,0.2,77,51,7.1,-5.5,6.4,9.7,19.6269904159815,1.200300700396173
54539,1993,2,11,42,4,0.0,2.8,1.4,43,12,9.3,-5.3,6.6,13.07,19.836312140781757,1.8196683206952773
54539,1993,2,12,43,4,0.0,3.3,0.1,63,33,9.0,-4.2,6.6,15.69,20.04837365565258,1.7146835292278644
54539,1993,2,13,44,4,0.0,1.3,0.8,58,22,9.1,-4.7,10.2,13.03,20.26309687465822,1.480531435747724
54539,1993,2,14,45,4,0.0,1.0,-0.5,69,23,8.8,-6.4,7.2,11.89,20.480402196489965,1.060641747362316
54539,1993,2,15,46,4,0.0,4.5,0.6,68,54,2.4,-2.2,3.6,6.03,20.700208550760927,1.319427282582175
54539,1993,2,16,47,4,0.0,4.0,1.3,55,32,2.3,0.0,4.8,7.97,20.92243344718068,1.9167807842503524
54539,1993,2,17,48,4,0.0,1.5,-1.0,62,32,9.2,-4.6,3.9,13.06,21.146993027524896,1.1902187158431519
54539,1993,2,18,49,4,0.0,2.0,1.3,68,29,8.9,-3.5,8.4,11.34,21.373802120308063,1.4584885761229478
54539,1993,2,19,50,4,0.0,1.3,-0.4,62,33,9.4,-6.6,5.5,14.07,21.602774298059302,1.2048475610530767
54539,1993,2,20,51,4,0.0,0.5,-0.5,79,49,0.7,-5.7,5.5,6.04,21.833821937094445,0.6985069364328557
54539,1993,2,21,52,4,0.0,3.3,0.6,54,26,7.6,-3.2,6.3,12.85,22.066856279670855,1.931678050368117
54539,1993,2,22,53,4,0.0,6.8,-3.6,17,9,9.4,-7.7,0.4,12.01,22.301787498404842,2.6519844251434215
54539,1993,2,24,55,4,0.0,1.8,-3.6,37,15,9.5,-6.9,1.8,12.28,22.77697630793428,1.4906869688527418
54539,1993,2,25,56,4,0.0,1.5,-2.2,56,25,8.1,-7.9,5.4,13.63,23.01704950463078,1.3879944682501493
54539,1993,2,26,57,4,0.0,2.5,0.3,73,43,8.4,-6.3,8.1,12.84,23.25865093186718,1.4973532354476369
54539,1993,2,27,58,4,0.0,2.5,1.3,48,21,6.9,-1.3,6.4,8.47,23.501686450381154,1.886341758829399
54539,1993,2,28,59,4,0.0,4.0,-3.0,25,10,9.6,-7.4,2.2,14.58,23.74606127785954,2.3026414361154712
54539,1993,3,1,60,1,0.0,3.8,-2.2,24,7,9.7,-9.4,5.2,17.08,23.991680065378116,2.547924616981844
54539,1993,3,2,61,1,0.0,3.0,1.5,37,18,9.5,-5.5,9.6,13.18,24.238446974960873,2.5439804478862946
54539,1993,3,3,62,1,0.0,2.3,2.0,45,11,10.1,-4.7,10.4,16.65,24.48626575809897,2.3346152169098695
54539,1993,3,4,63,1,0.0,3.8,4.9,57,15,8.8,-1.7,13.3,14.37,24.735039835067514,2.778172919742571
54539,1993,3,5,64,1,0.0,1.5,4.4,45,22,3.2,0.8,8.7,8.88,24.98467237487628,1.7416998353573285
54539,1993,3,6,65,1,0.0,1.5,2.4,52,20,8.7,-2.2,9.1,14.52,25.235066375689133,1.8413328516560858
54539,1993,3,7,66,1,0.0,2.3,0.1,61,18,10.3,-6.0,7.5,17.25,25.486124745545762,1.8443043182048475
54539,1993,3,8,67,1,0.0,2.8,0.9,62,16,9.4,-6.2,10.1,16.1,25.737750383218962,2.1532006894829863
54539,1993,3,9,68,1,0.0,3.0,5.6,61,10,8.2,0.7,13.4,13.33,25.98984625904046,2.5529599845162947
54539,1993,3,10,69,1,0.0,3.5,5.1,59,21,6.2,-0.5,13.2,11.9,26.242315495528416,2.6519382331473365
54539,1993,3,11,70,1,0.0,2.8,4.1,64,43,6.8,1.9,9.2,12.36,26.49506144765097,2.0758658533232524
54539,1993,3,12,71,1,0.0,2.3,3.4,65,23,10.0,-3.8,11.8,16.72,26.74798778256067,2.1580958128484498
54539,1993,3,13,72,1,0.0,2.8,2.8,76,59,1.1,-0.7,6.6,5.38,27.000998558636965,1.179188348481828
54539,1993,3,14,73,1,0.3,2.3,3.9,86,77,0.0,2.9,6.8,3.68,27.25399830367526,0.9640606691944675
54539,1993,3,15,74,1,0.0,2.5,4.9,49,24,10.1,-0.4,10.7,17.68,27.50689209206422,2.54735654698335
54539,1993,3,16,75,1,0.0,3.0,2.2,47,25,9.7,-1.8,7.1,18.53,27.75958562079519,2.4322512470388014
54539,1993,3,17,76,1,0.0,0.8,1.3,48,17,9.9,-3.8,8.7,19.33,28.011985284151336,1.8441019314680318
54539,1993,3,18,77,1,0.0,2.5,2.5,45,16,10.2,-3.5,10.0,19.63,28.263998246927713,2.63422563757199
54539,1993,3,20,79,1,0.0,2.5,5.2,60,21,8.9,-1.4,14.0,17.03,28.76649701036285,2.673760326689156
54539,1993,3,21,80,1,0.0,3.3,7.3,51,23,7.5,1.1,14.3,14.39,29.016801628719197,3.047443319956356
54539,1993,3,22,81,1,0.0,1.8,7.2,55,24,7.4,-0.2,15.8,14.28,29.266357315795247,2.5447130064797734
54539,1993,3,23,82,1,0.0,2.8,8.5,65,40,8.8,1.5,15.2,15.53,29.51507612595152,2.5802105090404117
54539,1993,3,24,83,1,0.0,3.0,9.0,71,36,7.9,3.3,16.9,13.5,29.762871284754027,2.6880007372225574
54539,1993,3,25,84,1,0.0,2.8,10.1,59,31,8.7,5.2,16.8,19.24,30.009657248131845,3.3163255422777
54539,1993,3,26,85,1,0.0,2.8,9.0,49,22,10.0,1.3,17.6,21.13,30.255349759052336,3.695514087683966
54539,1993,3,27,86,1,0.0,3.0,10.7,48,25,8.1,7.2,19.2,16.91,30.499865901614555,4.176315064316048
54539,1993,3,28,87,1,0.0,2.8,8.1,47,15,9.7,1.6,14.4,21.93,30.743124152468475,3.395531238664322
54539,1993,3,29,88,1,0.0,3.5,8.7,51,15,8.0,1.2,16.6,16.27,30.985044429475103,3.5095666361840347
54539,1993,3,30,89,1,1.4,5.8,10.0,51,39,5.7,7.5,14.2,12.39,31.225548137529824,3.9047978749277865
54539,1993,3,31,90,1,0.0,3.0,9.5,59,24,9.6,4.6,16.5,19.72,31.46455821147929,3.434898488083692
54539,1993,4,1,91,1,0.0,3.3,11.5,57,23,8.3,4.7,19.6,19.17,31.70199915607,3.9030010544692058
54539,1993,4,2,92,1,0.3,6.5,10.8,53,29,1.5,8.3,14.5,11.07,31.93779708287472,3.9138201323567934
54539,1993,4,3,93,1,5.2,4.0,5.4,62,32,8.0,2.1,9.2,18.41,32.17187974415116,2.5854365722161634
54539,1993,4,4,94,1,0.0,2.8,5.7,48,10,9.2,-1.2,13.0,22.78,32.40417656359578,3.2764784700810403
54539,1993,4,5,95,1,0.0,2.3,7.2,60,28,9.0,1.7,13.7,16.75,32.63461866396373,2.691160954497775
54539,1993,4,6,96,1,0.0,4.5,8.3,34,4,10.4,4.7,12.5,23.3,32.863138891534824,4.410665362728722
54539,1993,4,7,97,1,0.0,4.3,3.7,19,3,10.4,-0.6,8.7,24.52,33.08967183741361,4.095808656015262
54539,1993,4,8,98,1,0.0,3.5,4.3,43,13,10.4,-2.1,10.4,24.4,33.31415385566023,3.329880302229963
54539,1993,4,9,99,1,0.0,7.8,6.7,54,9,8.8,0.2,14.5,16.49,33.53652307825757,4.040707970292785
54539,1993,4,10,100,1,0.0,3.8,4.7,35,14,10.3,-1.0,10.1,24.57,33.75671942692827,3.6508978466013478
54539,1993,4,11,101,1,0.0,2.5,5.5,51,21,10.0,-1.3,12.1,23.35,33.97468462182395,3.09956328494757
54539,1993,4,12,102,1,0.0,2.5,8.7,56,25,9.9,0.7,17.9,21.23,34.190362187117024,3.600411449861451
54539,1993,4,13,103,1,0.0,3.3,11.8,49,28,9.6,4.7,18.3,21.93,34.40369745353416,4.168462463623359
54539,1993,4,14,104,1,0.0,4.5,12.8,57,38,6.5,7.4,18.6,15.68,34.6146375578778,3.963333442648511
54539,1993,4,15,105,1,0.5,2.5,14.5,59,33,9.2,7.8,22.4,18.08,34.82313143959092,3.9404093858947244
54539,1993,4,16,106,1,0.0,3.3,14.8,63,31,10.5,7.5,22.0,21.01,35.0291298344271,4.156188361633315
54539,1993,4,18,108,1,0.0,1.5,17.9,50,29,10.3,10.8,25.8,22.06,35.4334520303615,4.379341036797762
54539,1993,4,19,109,1,0.0,3.8,19.7,53,30,9.8,11.5,27.5,21.07,35.63168618847575,5.68153360396013
54539,1993,4,20,110,1,0.0,3.8,16.7,52,22,9.6,13.4,21.8,20.0,35.82724554204135,5.072177935170117
54539,1993,4,21,111,1,0.7,2.3,12.5,84,52,2.4,10.5,18.5,5.43,36.02008961739703,1.9372474017702315
54539,1993,4,22,112,1,0.0,3.3,10.4,92,81,1.1,9.0,12.9,6.43,36.21017964283093,1.267518796998452
54539,1993,4,23,113,1,1.1,1.5,11.4,85,32,3.3,8.6,17.6,10.67,36.39747852432935,2.0578351064970986
54539,1993,4,24,114,1,0.0,3.5,10.3,46,9,10.0,5.4,16.2,23.25,36.58195081917514,4.340032420747658
54539,1993,4,25,115,1,0.0,4.5,12.5,39,14,10.5,5.2,19.6,25.86,36.76356270751397,5.545584231205191
54539,1993,4,26,116,1,0.0,3.8,16.4,30,14,10.7,12.4,21.8,23.41,36.942281962011286,6.322775869825049
54539,1993,4,27,117,1,1.2,2.3,12.6,61,26,0.9,10.4,17.2,8.49,37.118077915726715,2.7397171948850216
54539,1993,4,28,118,1,2.6,3.8,11.5,78,52,6.4,8.4,16.4,15.75,37.290921428336006,2.838491841804443
54539,1993,4,29,119,1,2.8,1.3,12.7,78,53,7.0,10.5,17.7,17.67,37.46078485083327,2.8383260382911537
54539,1993,4,30,120,1,0.0,2.3,10.8,64,24,5.9,7.0,16.7,16.14,37.62764198884915,3.108677971871928
54539,1993,5,1,121,1,0.0,2.3,10.8,72,56,2.4,7.9,14.0,10.21,37.79146806472183,2.1411932440970123
54539,1993,5,2,122,1,0.0,3.0,16.0,52,21,12.0,9.5,22.9,26.55,37.95223967845977,5.2498227628088
54539,1993,5,3,123,1,0.0,4.3,16.1,62,33,11.3,9.4,22.3,25.42,38.10993476773519,4.921175361200103
54539,1993,5,4,124,1,0.3,6.3,16.1,68,36,7.9,12.7,22.9,15.56,38.26453256704824,4.945210130052896
54539,1993,5,5,125,1,0.0,2.0,14.3,64,45,10.3,9.7,18.9,20.97,38.41601356620089,3.614668120082596
54539,1993,5,6,126,1,0.0,2.5,14.3,76,62,8.0,9.1,18.4,19.1,38.56435946821928,3.044337431618776
54539,1993,5,8,128,1,0.0,2.8,18.2,45,17,9.7,12.7,25.7,21.85,38.851578603844814,5.646747129041354
54539,1993,5,9,129,1,0.0,2.3,19.3,46,17,11.7,12.4,26.1,25.67,38.990420925929,5.572597893315759
54539,1993,5,10,130,1,0.0,4.0,19.6,59,30,12.2,15.0,25.4,23.57,39.126066241978435,5.691728053400723
54539,1993,5,11,131,1,0.0,1.5,17.3,71,60,0.0,15.0,19.8,3.46,39.2585016801359,1.697458584086212
54539,1993,5,12,132,1,0.0,3.8,16.1,71,48,0.0,13.0,19.3,5.86,39.38771532522618,2.5545473733707484
54539,1993,5,13,133,1,0.9,3.3,16.4,65,13,4.3,14.0,23.0,18.45,39.513696176508,4.65187153688134
54539,1993,5,14,134,1,0.0,2.5,16.4,43,18,12.6,10.1,22.1,28.07,39.636434105886664,5.4136616911279525
54539,1993,5,15,135,1,0.0,3.3,17.1,52,28,8.2,8.7,22.9,17.3,39.755919816694615,4.406629294725196
54539,1993,5,16,136,1,0.0,3.3,16.3,67,43,5.2,14.2,20.3,13.78,39.87214480314068,3.6479526063306427
54539,1993,5,17,137,1,0.0,4.8,19.3,67,40,11.9,13.0,26.8,24.41,39.98510131052332,5.732962567041018
54539,1993,5,18,138,1,0.0,3.8,21.2,60,31,12.7,14.1,27.7,26.2,40.09478229629593,5.996740689123291
54539,1993,5,19,139,1,0.0,3.0,21.9,62,39,11.6,15.2,27.8,23.83,40.20118139206574,5.400703135663659
54539,1993,5,20,140,1,0.0,3.8,20.9,64,38,8.2,16.9,26.1,16.94,40.3042928666007,4.883583469659035
54539,1993,5,21,141,1,0.0,3.5,16.3,78,52,5.5,14.7,20.5,17.65,40.40411158991113,3.6382660714835873
54539,1993,5,22,142,1,0.0,2.8,17.6,72,41,12.0,12.2,23.2,28.1,40.50063299846566,4.798924387339765
54539,1993,5,23,143,1,0.0,5.5,24.0,60,38,12.2,16.8,30.8,25.58,40.59385306159313,7.1496284945969215
54539,1993,5,24,144,1,0.0,5.8,20.0,38,19,9.3,16.9,25.8,19.81,40.68376824911441,7.955645576362433
54539,1993,5,25,145,1,0.0,3.0,20.4,32,20,13.1,13.2,26.9,27.94,40.77037550024058,6.941517057487875
54539,1993,5,27,147,1,0.0,3.5,23.3,45,20,12.5,15.0,31.0,27.22,40.93365611957596,7.3870673985555
54539,1993,5,28,148,1,0.0,2.3,23.8,49,16,12.9,16.1,34.0,26.31,41.01032545148657,6.986180433803406
54539,1993,5,29,149,1,0.0,2.5,23.2,28,14,11.7,15.1,28.1,23.64,41.08367872141618,6.401114169025039
54539,1993,5,30,150,1,0.0,3.3,23.2,50,28,12.1,17.1,30.7,25.5,41.15371479489453,7.025624219513147
54539,1993,5,31,151,1,0.0,4.5,24.2,56,35,12.2,19.1,30.3,24.63,41.220432847898174,7.164060174457944
54539,1993,6,1,152,2,23.7,2.3,17.3,82,53,0.0,13.7,23.9,1.98,41.28383234499979,1.9030848247823504
54539,1993,6,2,153,2,0.0,4.0,18.7,60,19,13.0,11.6,27.0,26.71,41.34391301881185,6.178343318193105
54539,1993,6,3,154,2,0.0,2.8,21.2,56,28,13.5,13.7,28.6,28.13,41.400674850699616,6.228271335206865
54539,1993,6,4,155,2,0.0,3.0,23.3,63,43,12.8,16.6,28.5,26.12,41.45411805273387,5.733299056129187
54539,1993,6,5,156,2,0.0,3.8,24.2,62,49,6.3,20.1,28.6,21.24,41.50424305084928,5.799671058923381
54539,1993,6,6,157,2,4.0,2.3,22.9,71,46,12.7,16.1,28.9,26.21,41.551050469170754,5.318597924118676
54539,1993,6,7,158,2,0.0,3.3,20.8,73,57,11.0,18.3,24.6,23.93,41.59454111546687,4.9202188281340735
54539,1993,6,8,159,2,0.0,3.0,22.0,77,42,11.1,16.0,29.9,23.7,41.634715967687384,5.286905081034453
54539,1993,6,9,160,2,0.0,2.5,19.8,86,75,0.0,18.3,21.9,8.44,41.67157616153956,2.135510779730112
54539,1993,6,10,161,2,4.3,4.3,17.5,92,86,0.0,16.7,19.1,5.75,41.70512297905755,1.540529805387679
54539,1993,6,11,162,2,2.4,2.5,19.7,90,72,4.6,16.0,24.7,14.59,41.73535783811796,2.9136324802036815
54539,1993,6,12,163,2,28.4,2.3,19.7,91,77,5.0,18.2,23.4,10.76,41.76228228285599,2.4265122573485587
54539,1993,6,13,164,2,0.0,3.0,22.7,75,46,11.1,16.3,28.9,25.28,41.78589797493613,5.23719468325569
54539,1993,6,14,165,2,2.8,3.5,21.5,84,64,5.0,19.1,25.2,14.04,41.80620668563438,3.3184580243804223
54539,1993,6,15,166,2,3.4,2.8,22.5,73,40,12.9,15.1,30.6,27.11,41.823210288690106,5.807723463706148
54539,1993,6,18,169,2,0.0,2.5,25.1,69,35,11.3,19.6,33.2,26.95,41.85441059642301,6.4707180131309885
54539,1993,6,19,170,2,0.0,2.5,23.8,70,46,12.5,19.3,30.4,27.34,41.8582143453589,6.056963752918019
54539,1993,6,20,171,2,0.0,2.5,24.4,62,36,13.3,18.1,30.7,27.02,41.858723691410574,6.174084447664925
54539,1993,6,21,172,2,1.3,1.5,24.4,74,48,2.3,21.8,29.7,9.27,41.8559410116682,3.0207150359073816
54539,1993,6,22,173,2,0.0,3.0,23.9,73,51,10.2,20.5,29.0,24.4,41.849868754422545,5.545134801991646
54539,1993,6,23,174,2,0.0,3.0,24.8,64,29,13.1,17.7,31.9,27.73,41.840509437113994,6.546859643463838
54539,1993,6,24,175,2,0.0,2.8,23.8,66,28,12.6,19.7,30.0,25.28,41.82786564485621,6.044963243494524
54539,1993,6,25,176,2,0.0,2.5,23.8,66,35,13.5,18.4,30.4,28.3,41.81194002953844,6.234867980221061
54539,1993,6,26,177,2,0.0,3.0,24.2,76,38,8.4,18.9,31.0,22.3,41.792735309515486,5.309090312962966
54539,1993,6,27,178,2,0.0,3.0,23.6,79,67,8.9,20.9,26.4,18.53,41.770254269900434,4.070516069503219
54539,1993,6,28,179,2,18.5,1.5,19.9,95,87,0.0,18.7,22.5,0.07,41.74449976347947,0.7072335282840416
54539,1993,6,29,180,2,4.9,1.3,20.7,86,68,4.1,17.5,24.9,15.32,41.71547471227409,3.051301733624095
54539,1993,6,30,181,2,0.8,2.0,22.2,71,54,13.0,17.8,26.0,24.71,41.683182109779516,4.829907720835494
54539,1993,7,1,182,2,0.0,2.0,22.2,78,54,13.2,16.9,28.1,26.59,41.647625023913314,5.093186699305267
54539,1993,7,2,183,2,0.0,2.8,22.1,81,60,10.6,17.9,26.5,23.22,41.6088066007111,4.469251532732065
54539,1993,7,3,184,2,0.0,3.8,25.1,82,60,8.6,21.7,30.0,22.4,41.56673006881018,5.07162198086655
54539,1993,7,4,185,2,0.0,3.8,24.5,81,71,10.3,22.7,27.5,21.4,41.521398744764134,4.723984585197947
54539,1993,7,5,186,2,22.5,2.8,22.4,92,78,0.0,21.6,25.4,2.97,41.47281603923379,1.5599139947155458
54539,1993,7,6,187,2,0.0,2.3,25.2,81,57,10.9,20.2,31.2,24.6,41.42098546410134,5.231752898413209
54539,1993,7,8,189,2,0.8,2.3,23.1,85,61,9.6,19.6,27.5,23.78,41.307595308195616,4.55073700318758
54539,1993,7,9,190,2,15.5,3.3,22.8,83,69,2.6,20.9,26.0,9.58,41.24604333520109,2.8873247616895408
54539,1993,7,10,191,2,12.1,3.8,23.1,86,71,10.8,19.9,27.4,23.36,41.181258729614775,4.521985080163959
54539,1993,7,11,192,2,0.0,1.5,25.7,87,66,6.6,22.4,30.2,18.96,41.1132456517822,4.0419118951115935
54539,1993,7,12,193,2,1.6,0.5,24.7,88,71,3.4,22.5,28.8,9.6,41.042008427990176,2.2650453905700414
54539,1993,7,13,194,2,0.0,1.3,25.1,82,63,12.9,20.3,30.9,22.43,40.967551565343335,4.648604424270119
54539,1993,7,14,195,2,0.0,1.5,26.2,75,57,12.4,22.1,30.2,26.65,40.889879767913705,5.468527044865526
54539,1993,7,15,196,2,0.0,1.5,25.2,78,59,4.5,22.8,29.8,16.5,40.80899795419416,3.9388910415815537
54539,1993,7,16,197,2,1.5,1.5,24.7,82,64,10.0,21.9,28.5,21.41,40.72491127588206,4.390732259275952
54539,1993,7,17,198,2,1.8,2.3,23.6,88,75,1.1,21.7,27.2,9.96,40.637625138013554,2.6168162038351332
54539,1993,7,18,199,2,8.2,1.8,21.5,95,81,0.0,20.3,24.2,6.76,40.547145220463506,1.6801480097675217
54539,1993,7,19,200,2,0.3,1.5,22.6,81,64,6.2,19.6,26.3,17.17,40.45347750081996,3.5537767350261147
54539,1993,7,20,201,2,0.0,2.0,23.1,77,53,12.4,18.7,28.5,26.2,40.35662827863479,5.156143911904092
54539,1993,7,21,202,2,0.0,1.5,24.3,76,55,12.2,19.0,29.5,24.32,40.25660420104647,4.878470478926735
54539,1993,7,22,203,2,0.0,3.5,23.6,77,52,7.9,21.5,27.4,21.3,40.15341228976234,4.879443542408043
54539,1993,7,23,204,2,0.7,2.0,21.2,80,46,1.4,19.3,25.3,9.89,40.04705996938174,2.7816383561903555
54539,1993,7,24,205,2,0.0,1.8,22.0,76,57,4.7,17.5,25.9,17.28,39.93755509703308,3.6039258029979644
54539,1993,7,25,206,2,0.0,1.3,23.6,79,61,3.6,20.6,28.3,16.37,39.82490599329055,3.6233643030679197
54539,1993,7,26,207,2,0.0,2.8,23.1,86,73,2.8,21.7,26.3,11.95,39.70912147432885,3.0131028500583006
54539,1993,7,27,208,2,8.9,2.5,22.3,93,85,0.0,21.3,23.5,2.36,39.59021088526645,1.044510333176651
54539,1993,7,28,209,2,24.4,1.3,22.4,91,77,1.2,20.6,25.3,9.01,39.468184134640566,2.0778890596077146
54539,1993,7,29,210,2,0.3,1.5,23.3,88,74,4.3,21.5,26.3,13.22,39.343051729949636,2.852669686190849
54539,1993,7,30,211,2,0.0,1.8,23.8,87,72,8.3,20.4,27.2,20.23,39.21482481419198,3.859880501223065
54539,1993,7,31,212,2,0.0,1.5,24.2,84,71,6.2,21.5,27.8,18.21,39.08351520332218,3.752938934108907
54539,1993,8,1,213,2,0.0,1.5,24.7,87,70,4.1,22.5,28.5,16.87,38.94913542454051,3.5814379209397535
54539,1993,8,2,214,2,0.0,0.8,25.1,86,66,7.0,22.5,29.2,16.67,38.81169875532344,3.4882162429702324
54539,1993,8,3,215,2,0.0,2.5,25.6,87,71,6.0,23.3,29.4,18.17,38.67121926309843,3.9714991335122725
54539,1993,8,4,216,2,0.0,2.3,25.5,88,72,0.0,22.9,29.3,11.25,38.52771184545934,2.841813602422308
54539,1993,8,5,217,2,0.0,2.3,25.4,86,67,7.0,23.9,28.4,19.43,38.381192270814495,4.11207926125697
54539,1993,8,6,218,2,0.5,2.3,24.1,85,71,3.0,23.3,26.5,9.42,38.23167721935384,2.627300196723922
54539,1993,8,7,219,2,0.0,2.3,23.5,80,68,7.6,19.7,27.0,20.23,38.079184324217906,4.0429477144090225
54539,1993,8,8,220,2,0.0,1.0,25.6,80,53,8.3,20.8,31.3,21.41,37.923732212746785,4.403723120312731
54539,1993,8,9,221,2,0.0,1.8,25.3,84,65,9.9,21.1,29.8,22.09,37.76534054768434,4.429828924736685
54539,1993,8,10,222,2,0.0,1.5,26.0,81,55,10.2,19.9,32.1,21.82,37.60403006820978,4.573571134680359
54539,1993,8,11,223,2,0.0,1.8,26.3,80,63,0.8,24.2,29.8,11.81,37.43982263066635,3.186198951812531
54539,1993,8,12,224,2,0.0,1.3,25.4,76,52,4.8,22.9,30.0,15.37,37.27274124885488,3.665589279533556
54539,1993,8,13,225,2,0.0,2.3,24.7,63,39,11.4,20.2,30.7,25.02,37.102810133758865,5.767063979169597
54539,1993,8,14,226,2,0.0,1.5,25.0,72,43,7.0,20.5,31.0,16.69,36.93005473256664,4.020363874676103
54539,1993,8,15,227,2,0.1,2.0,24.2,69,41,5.2,21.3,29.3,16.7,36.75450176685611,4.292137175033023
54539,1993,8,16,228,2,0.3,2.5,23.0,74,46,8.2,18.4,27.9,19.79,36.57617926980748,4.313689636784841
